MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
54.84600067,-566411,-537695,-988088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.07899857,-566720,-540529,-985695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.27099991,-569852,-541467,-986994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.47800064,-569420,-541846,-975748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.70899963,-574160,-537847,-977927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.90599823,-568816,-538253,-982785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.12400055,-567092,-534345,-989434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.35599899,-565259,-537786,-983070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.5890007,-568941,-542996,-983612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.80699921,-565252,-540628,-976571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.01300049,-566757,-540560,-980944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.19300079,-572764,-535202,-985003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.41400146,-562441,-533640,-987879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.64799881,-572088,-537007,-980759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.85200119,-562733,-533998,-978964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.05699921,-562795,-536647,-975406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.29199982,-570406,-540847,-969654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.54999924,-568131,-534662,-981332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.74499893,-561287,-535415,-986101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.96300125,-567255,-538458,-979131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.17100143,-567254,-532224,-983486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
