MeltCurveTemperature, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
47.77199936,-2178907,-1378300,-1880347,-3138081,-2826386,-1567982,-1430152,-1363408,0,0,0,0,0,0,0,0,0,0,0,0
47.97299957,-2186287,-1372723,-1865856,-3134873,-2830070,-1571470,-1430104,-1354328,0,0,0,0,0,0,0,0,0,0,0,0
48.09899902,-2198768,-1367756,-1870709,-3127799,-2826479,-1576917,-1430372,-1357628,0,0,0,0,0,0,0,0,0,0,0,0
48.33800125,-2168104,-1367853,-1890815,-3127816,-2826546,-1582868,-1426779,-1362170,0,0,0,0,0,0,0,0,0,0,0,0
48.46699905,-2172367,-1352740,-1868590,-3144264,-2824118,-1579619,-1427294,-1359105,0,0,0,0,0,0,0,0,0,0,0,0
48.5909996,-2202807,-1381044,-1879429,-3171114,-2813742,-1581990,-1429293,-1354591,0,0,0,0,0,0,0,0,0,0,0,0
48.75299835,-2169684,-1370801,-1873954,-3152630,-2797031,-1591766,-1428574,-1353571,0,0,0,0,0,0,0,0,0,0,0,0
48.94599915,-2202113,-1380229,-1883850,-3159500,-2825716,-1590010,-1429341,-1348017,0,0,0,0,0,0,0,0,0,0,0,0
49.0870018,-2205722,-1356203,-1886933,-3157477,-2807644,-1596528,-1417065,-1357516,0,0,0,0,0,0,0,0,0,0,0,0
49.24700165,-2177104,-1372884,-1884914,-3144106,-2832123,-1598080,-1420798,-1358902,0,0,0,0,0,0,0,0,0,0,0,0
49.43799973,-2181774,-1364710,-1895116,-3175649,-2816615,-1602945,-1419566,-1350234,0,0,0,0,0,0,0,0,0,0,0,0
49.5909996,-2180357,-1374286,-1890687,-3170799,-2821050,-1607026,-1420025,-1354895,0,0,0,0,0,0,0,0,0,0,0,0
49.80599976,-2197560,-1372191,-1896901,-3188760,-2791130,-1607941,-1430032,-1344231,0,0,0,0,0,0,0,0,0,0,0,0
49.91899872,-2198328,-1368717,-1883424,-3166287,-2837900,-1609194,-1424379,-1354816,0,0,0,0,0,0,0,0,0,0,0,0
50.06999969,-2188785,-1386725,-1888910,-3174062,-2811529,-1616264,-1422316,-1351602,0,0,0,0,0,0,0,0,0,0,0,0
50.28900146,-2190012,-1367956,-1894769,-3157640,-2829566,-1620129,-1423287,-1350701,0,0,0,0,0,0,0,0,0,0,0,0
50.39599991,-2185837,-1358018,-1894969,-3183613,-2830842,-1623253,-1422947,-1357161,0,0,0,0,0,0,0,0,0,0,0,0
50.56000137,-2159289,-1366942,-1893172,-3215783,-2810569,-1623146,-1427780,-1356759,0,0,0,0,0,0,0,0,0,0,0,0
50.74399948,-2193586,-1367188,-1900317,-3213952,-2799452,-1623983,-1426140,-1353111,0,0,0,0,0,0,0,0,0,0,0,0
50.87599945,-2189808,-1375449,-1913052,-3196820,-2837804,-1636446,-1425147,-1351032,0,0,0,0,0,0,0,0,0,0,0,0
51.11800003,-2178742,-1365823,-1905265,-3197198,-2809093,-1633120,-1425259,-1353194,0,0,0,0,0,0,0,0,0,0,0,0
51.24700165,-2188365,-1364707,-1897534,-3211041,-2823712,-1633702,-1423160,-1351551,0,0,0,0,0,0,0,0,0,0,0,0
