MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
53.21099854,-6462046,-1136012,-918148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.40499878,-6617795,-1144332,-928374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.62400055,-6535348,-1153326,-918184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.86899948,-6582096,-1112849,-921754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.04899979,-6617208,-1124530,-921374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.2820015,-6536488,-1125659,-917877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.52999878,-6567710,-1136476,-925185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.74700165,-6597156,-1157988,-922141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.93999863,-6642443,-1135540,-913215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.14599991,-6660991,-1133616,-933065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.3390007,-6661127,-1131371,-911475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.56100082,-6590584,-1113981,-922097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.80599976,-6552565,-1142562,-915000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.99900055,-6644004,-1129921,-916580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.20500183,-6638486,-1126919,-923504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.44800186,-6625346,-1124209,-920598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.68199921,-6549908,-1129323,-923609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
